Participant,UnityTime,CurrentSession,ConstrictedSize,DilatedSize,CurrentStimuli,StimuliStartSize,StimuliEndSize,StimuliPupilSize,PupilSizeChanging,PupilDataActive,LeftPupilSize,RightPupilSize,Frame
2,13:20:59:727,1,9,1,Human,1,0,0,False,False,0,0,174
2,13:20:59:738,1,9,1,Human,1,0,0,False,False,0,0,175
2,13:20:59:749,1,9,1,Human,1,0,0,False,False,0,0,176
2,13:20:59:760,1,9,1,Human,1,0,0,False,False,0,0,177
2,13:20:59:771,1,9,1,Human,1,0,0,False,False,0,0,178
2,13:20:59:782,1,9,1,Human,1,0,0,False,False,0,0,179
2,13:20:59:793,1,9,1,Human,1,0,0,False,False,0,0,180
2,13:20:59:806,1,9,1,Human,1,0,0,False,False,0,0,181
2,13:20:59:815,1,9,1,Human,1,0,0,False,False,0,0,182
2,13:20:59:827,1,9,1,Human,1,0,0,False,False,0,0,183
2,13:20:59:837,1,9,1,Human,1,0,0,False,False,0,0,184
2,13:20:59:849,1,9,1,Human,1,0,0,False,False,0,0,185
2,13:20:59:860,1,9,1,Human,1,0,0,False,False,0,0,186
2,13:20:59:871,1,9,1,Human,1,0,0,False,False,0,0,187
2,13:20:59:883,1,9,1,Human,1,0,0,False,False,0,0,188
2,13:20:59:893,1,9,1,Human,1,0,0,False,False,0,0,189
2,13:20:59:904,1,9,1,Human,1,0,0,False,False,0,0,190
2,13:20:59:916,1,9,1,Human,1,0,0,False,False,0,0,191
2,13:20:59:927,1,9,1,Human,1,0,0,False,False,0,0,192
2,13:20:59:938,1,9,1,Human,1,0,0,False,False,0,0,193
2,13:20:59:949,1,9,1,Human,1,0,0,False,False,0,0,194
2,13:20:59:961,1,9,1,Human,1,0,0,False,False,0,0,195
2,13:20:59:971,1,9,1,Human,1,0,0,False,False,0,0,196
2,13:20:59:982,1,9,1,Human,1,0,0,False,False,0,0,197
2,13:20:59:994,1,9,1,Human,1,0,0,False,False,0,0,198
2,13:21:00:005,1,9,1,Human,1,0,0,False,False,0,0,199
2,13:21:00:015,1,9,1,Human,1,0,0,False,False,0,0,200
2,13:21:00:027,1,9,1,Human,1,0,0,False,False,0,0,201
2,13:21:00:038,1,9,1,Human,1,0,0,False,False,0,0,202
2,13:21:00:049,1,9,1,Human,1,0,0,False,False,0,0,203
2,13:21:00:060,1,9,1,Human,1,0,0,False,False,0,0,204
2,13:21:00:072,1,9,1,Human,1,0,0,False,False,0,0,205
2,13:21:00:083,1,9,1,Human,1,0,0,False,False,0,0,206
2,13:21:00:093,1,9,1,Human,1,0,0,False,False,0,0,207
2,13:21:00:110,1,9,1,Human,1,0,0,False,False,0,0,208
2,13:21:00:122,1,9,1,Human,1,0,0,False,False,0,0,209
2,13:21:00:131,1,9,1,Human,1,0,0,False,False,0,0,210
2,13:21:00:140,1,9,1,Human,1,0,0,False,False,0,0,211
2,13:21:00:151,1,9,1,Human,1,0,0,False,False,0,0,212
2,13:21:00:162,1,9,1,Human,1,0,0,False,False,0,0,213
2,13:21:00:170,1,9,1,Human,1,0,0,False,False,0,0,214
2,13:21:00:180,1,9,1,Human,1,0,0,False,False,0,0,215
2,13:21:00:189,1,9,1,Human,1,0,0,False,False,0,0,216
2,13:21:00:200,1,9,1,Human,1,0,0,False,False,0,0,217
2,13:21:00:211,1,9,1,Human,1,0,0,False,False,0,0,218
2,13:21:00:224,1,9,1,Human,1,0,0,False,False,0,0,219
2,13:21:00:234,1,9,1,Human,1,0,0,False,False,0,0,220
2,13:21:00:244,1,9,1,Human,1,0,0,False,False,0,0,221
2,13:21:00:256,1,9,1,Human,1,0,0,False,False,0,0,222
2,13:21:00:266,1,9,1,Human,1,0,0,False,False,0,0,223
2,13:21:00:278,1,9,1,Human,1,0,0,False,False,0,0,224
2,13:21:00:289,1,9,1,Human,1,0,0,False,False,0,0,225
2,13:21:00:300,1,9,1,Human,1,0,0,False,False,0,0,226
2,13:21:00:311,1,9,1,Human,1,0,0,False,False,0,0,227
2,13:21:00:322,1,9,1,Human,1,0,0,False,False,0,0,228
2,13:21:00:333,1,9,1,Human,1,0,0,False,False,0,0,229
2,13:21:00:344,1,9,1,Human,1,0,0,False,False,0,0,230
2,13:21:00:356,1,9,1,Human,1,0,0,False,False,0,0,231
2,13:21:00:367,1,9,1,Human,1,0,0,False,False,0,0,232
2,13:21:00:378,1,9,1,Human,1,0,0,False,False,0,0,233
2,13:21:00:389,1,9,1,Human,1,0,0,False,False,0,0,234
2,13:21:00:400,1,9,1,Human,1,0,0,False,False,0,0,235
2,13:21:00:412,1,9,1,Human,1,0,0,False,False,0,0,236
